student_ID,raw_sentiment_text,category,Resolved
S2023001,The limited access to research databases and materials is causing a lot of frustration among students. We need better access to be able to succeed academically.,Academic Support,On Process
S2023002,I'm having trouble finding the course materials I need for my classes. The library doesn't have them and the bookstore is always sold out.,Academic Support,On Process
S2023003,It's frustrating to have limited access to research databases and materials when I'm trying to write a paper or do a project. I feel like I'm at a disadvantage compared to students at other schools.,Academic Support,2/1/2024
S2023004,I'm really struggling in one of my classes but I can't get an appointment with my academic advisor for weeks. It's making me feel like no one cares about my success.,Academic Support,On Process
S2023005, I am really struggling with understanding the instructions for this assignment. They are not clear and I don't know what is expected of me.,Academic Support,On Process
S2023006, The grading system in this course is unfair and inconsistent. It seems like the professor is picking favorites and not giving everyone a fair shot.,Faculty,On Process
S2023007, I wish my professor would give us more feedback on our assignments. I don't know what I'm doing wrong and I can't improve without constructive criticism.,Faculty,On Process
S2023008, The quality of teaching in this course is very poor. The professor doesn't seem to care about the material or the students and it shows in the lectures.,Faculty,8/26/2024
S2023009, The course fees and textbook costs are way too high. I can barely afford to pay for everything and it's causing me a lot of stress.,Facilities,On Process
S2023010,I am very concerned about academic dishonesty and plagiarism in this course. The professor doesn't seem to take it seriously and it's making me question the integrity of the entire class.,Faculty,On Process
S2023011,There have been several honor code violations in this course and it's really disappointing. I thought this was a place of higher learning and respect for academic integrity.,Academic Support,On Process
S2023012,The grading rubric for this course is confusing and doesn't make sense. I don't understand how my grade is being calculated and it's causing me a lot of anxiety.,Faculty,5/5/2024
S2023013,I feel like my professor doesn't care about my success in this course. They don't give us enough support or resources to do well.,Faculty,4/12/2024
S2023014, The textbooks for this course are outdated and don't provide enough information. I feel like I'm not getting the education I paid for.,Academic Support,On Process
S2023015, I am really frustrated with the lack of transparency in this course. The professor doesn't communicate with us clearly and it's causing a lot of confusion.,Faculty,On Process
S2023016, The teaching assistants for this course are not helpful at all. They don't know the material and can't answer any of my questions.,Faculty,On Process
S2023017, The grading scale for this course is too harsh. It's almost impossible to get an A and it's discouraging me from trying my best.,Academic Support,On Process
S2023018, I am disappointed with the quality of education I am receiving in this course. I expected more from a university.,Facilities,On Process
